	created_at	text	username	retweet_count	reply_count	like_count	quote_count
0	2022-01-31 15:49:21+00:00	As #Switzerland is preparing for the #COP27 UN #climate conference in Egypt, #Swiss #Environment Minister @s_sommaruga spoke to @COP26 President @AlokSharma_RDG about the importance of continued international co-operation in the run-up to the summit. https://t.co/Zc8NGGQCzR	SwissAmbUK	1	0	1	0
1	2022-01-31 15:47:22+00:00	"Games Forest is addressing the biggest challenges of our time— the climate crisis and biodiversity loss. It's an exciting initiative that we're proud to be a part of 🌳

#sustainability #environment #forest #nature #games #climatechange https://t.co/jCuH5awY8e"	s_sommaruga	0	0	0	0
2	2022-01-31 15:47:00+00:00	Greta Thunberg and the Teens Go for Broke With New UN Climate Emergency Petition. (Gizmodo) #Environment https://t.co/GOmmO5rpbT https://t.co/3wLQRtB2FX	COP26	1	1	2	0
3	2022-01-31 15:45:40+00:00	"OCP Ecuador, the operator of Ecuador's privately held heavy crude pipeline, suspended pumping crude as a preventative measure after it ruptured in the Amazon, and began cleaning and repairs.
#Pipeline #Ecuador #Midstream #Environment
https://t.co/gK5PL8ra2b"	AlokSharma_RDG	0	0	1	0
4	2022-01-31 15:44:28+00:00	Mining in the Lower Zambezi😩... It can't be business at all costs especially at the expense of the #environment and disrupting the ecosystem Mr. @HHichilema.  @lowerzambezi. Especially with the receipts we have of #climatechange	matchmadetv	0	0	0	0
5	2022-01-31 15:44:00+00:00	Looking to reduce your electric bill?  How would you like to improve your upper body strength?  Now you can kills these two birds with this new Laundry #Innovation stone! (Mashable) #Technology #Reduce #Energy #Environment https://t.co/sYCLy1wHy5	GamesforestC	1	0	2	0
6	2022-01-31 15:43:30+00:00	"Recycle to protect the environment and make it sustainable. 
#environment #sustainable #colour_code_uk #colourcoderecyclingofficial #recycle #reduce #reuse https://t.co/VIntwLjFGq"	jamesvgingerich	0	0	0	0
7	2022-01-31 15:41:53+00:00	“Out of the Box”is a story full of adventure and discovery which allows #children to connect with the #planet and the #environment through the eyes of Noah and Mila. #writerscommunity #recycling #cleanenergy https://t.co/ZEloeScGuk	PipelineandGas	0	0	2	0
8	2022-01-31 15:41:21+00:00	"#Bitcoin uses 0.03% of the world’s energy per day.

But remember kids,  #bitcoin is bad for the #environment https://t.co/X5DVv9j78b"	pearlnyoni	0	0	2	0
9	2022-01-31 15:40:02+00:00	"Do cell phones pose a risk to your health? Get the 411 at: https://t.co/m2GkUsETXr

#cancer #reproduction #radiation #environment #consumersafety https://t.co/iG00IxkuXb"	HHichilema	0	0	0	0
10	2022-01-31 15:37:54+00:00	"The biggest rewilding project in the UK will restore vanishing ecosystems in the Scottish Highlands
#environment 
https://t.co/277k17gAcz"	lowerzambezi	1	0	1	0
11	2022-01-31 15:36:24+00:00	"#PlanetSmartCity has shared its #CoP as part of its continued commitment to the @globalcompact , which addresses #humanrights, #labour, #environment, and anti-corruption issues. Find our CoP here: https://t.co/jftKynjiPc
#smartcity #ESG #inclusivity #Socialimpact https://t.co/jgLjRjJV46"	colour_code_uk	0	0	0	0
12	2022-01-31 15:36:00+00:00	This trash bin collects floating garbage on the water. (GIGadgets) #Environment https://t.co/cDuptJO0XN	LMatuonto	1	0	2	1
13	2022-01-31 15:35:23+00:00	#Environment and #Conservation News is out! https://t.co/V61YnPyDEq Stories via @YaleE360 @UNEP #environmentalmanagement #energymanagement	gary_woodfine	0	0	0	0
